;Tag Type, Tag Name, Tag Description, Read Only, Data Source, Security Code, Alarmed, Data Logged, Native Type, Value Type, Min Analog, Max Analog, Initial Analog, Scale, Offset, DeadBand, Units, Off Label Digital, On Label Digital, Initial Digital, Length String, Initial String, Node Name, Address, Scan Class,  System Source Name, System Source Index, RIO Address, Element Size Block, Number Elements Block, Initial Block
;###001 - THIS LINE CONTAINS VERSION INFORMATION. DO NOT REMOVE!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Folders Section (Must define folders before tags),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,M40\SV20\OFF_IND,SV20 OFF IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:19/3,G,,,,,,
D,M40\SV20\SUP_IND,SV20 SUPPLY IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:19/2,G,,,,,,
D,M40\SV21\EXH_IND,SV21 EXHAUST IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:9/0,G,,,,,,
D,M40\SV21\OFF_IND,SV21 OFF IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:9/3,G,,,,,,
D,M40\SV21\SUP_IND,SV21 SUPPLY IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:9/2,G,,,,,,
D,M40\SV22\EXH_IND,SV22 EXHAUST IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:9/4,G,,,,,,
D,M40\SV22\OFF_IND,SV22 OFF IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:9/7,G,,,,,,
D,M40\SV22\SUP_IND,SV22 SUPPLY IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:9/6,G,,,,,,
D,M40\SV23\EXH_IND,SV23 EXHAUST IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:10/0,G,,,,,,
D,M40\SV23\OFF_IND,SV23 OFF IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:10/3,G,,,,,,
