    fip     | dnp3  | index |           type            |                         dev                         |           attr            |          bit          
 A30-ACO-DN |   179 |     5 | ABNORMAL_CONDITION_DEVICE | ACO_BKR_A01_MUXED_OC_TRIP                           | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   180 |     5 | ABNORMAL_CONDITION_DEVICE | ACO_BKR_A01_MUXED_OC_TRIP                           | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   181 |     9 | ABNORMAL_CONDITION_DEVICE | ACO_BKR_A02_TEST_POS                                | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   182 |     9 | ABNORMAL_CONDITION_DEVICE | ACO_BKR_A02_TEST_POS                                | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   183 |    10 | ABNORMAL_CONDITION_DEVICE | ACO_BKR_A02_DISCONNECT_POS                          | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   184 |    10 | ABNORMAL_CONDITION_DEVICE | ACO_BKR_A02_DISCONNECT_POS                          | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   185 |    11 | ABNORMAL_CONDITION_DEVICE | ACO_BKR_A02_MUXED_OC_TRIP                           | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   186 |    11 | ABNORMAL_CONDITION_DEVICE | ACO_BKR_A02_MUXED_OC_TRIP                           | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   187 |    12 | ABNORMAL_CONDITION_DEVICE | ACO_HS_243_LOCAL                                    | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   188 |    12 | ABNORMAL_CONDITION_DEVICE | ACO_HS_243_LOCAL                                    | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   189 |    14 | ABNORMAL_CONDITION_DEVICE | ACO_HS_143_LOCAL                                    | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   190 |    14 | ABNORMAL_CONDITION_DEVICE | ACO_HS_143_LOCAL                                    | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   191 |    16 | ABNORMAL_CONDITION_DEVICE | ACO_HS_186_TRIP                                     | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   192 |    16 | ABNORMAL_CONDITION_DEVICE | ACO_HS_186_TRIP                                     | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   193 |    17 | ABNORMAL_CONDITION_DEVICE | ACO_HS_286_TRIP                                     | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   194 |    17 | ABNORMAL_CONDITION_DEVICE | ACO_HS_286_TRIP                                     | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   195 |    18 | ABNORMAL_CONDITION_DEVICE | ACO_X01_226WT_HI_ALM                                | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   196 |    18 | ABNORMAL_CONDITION_DEVICE | ACO_X01_226WT_HI_ALM                                | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   197 |    19 | ABNORMAL_CONDITION_DEVICE | ACO_X01_226WT_HI_TRP                                | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   198 |    19 | ABNORMAL_CONDITION_DEVICE | ACO_X01_226WT_HI_TRP                                | ABC_DEVICE_ELEC_IND       | NO_ALARM
