Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"KMAH01_CLOSE","000001",Boolean,1,R/W,500,,,,,,,,,,"KMA_BKR_252_1_CLOSE_CMD",
"KMAH01_CLOSED","100176",Boolean,1,RO,1000,,,,,,,,,,"KMA_BKR_252_1_CLOSED",
"KMAH01_OPEN","000002",Boolean,1,R/W,500,,,,,,,,,,"KMA_BKR_252_1_OPEN_CMD",
"KMAH01_OPENED","100177",Boolean,1,RO,1000,,,,,,,,,,"KMA_BKR_252_1_OPENED",
"KMAH02_CLOSE","000003",Boolean,1,R/W,500,,,,,,,,,,"KMA_BKR_252_2_CLOSE_CMD",
"KMAH02_CLOSED","100182",Boolean,1,RO,1000,,,,,,,,,,"KMA_BKR_252_2_CLOSED",
"KMAH02_OPEN","000004",Boolean,1,R/W,500,,,,,,,,,,"KMA_BKR_252_2_OPEN_CMD",
"KMAH02_OPENED","100183",Boolean,1,RO,1000,,,,,,,,,,"KMA_BKR_252_2_OPENED",
"MDI_164A_TRP","100022",Boolean,1,RO,1000,,,,,,,,,,"KMA SWGR ENCLOSURE ALIVE",
"MDI_164G_ALM","100021",Boolean,1,RO,1000,,,,,,,,,,"KMA SWGR ENCLOSURE GROUNDED",
"MDI_164ZA_TRP","100025",Boolean,1,RO,1000,,,,,,,,,,"KMA Z01/Z02 ENCLOSURES ALIVE TRIP",
"MDI_164ZG_ALM","100024",Boolean,1,RO,1000,,,,,,,,,,"KMA Z01/Z02 ENCLOSURES GROUNDED",
"MDI_194_AFD_TRP","100029",Boolean,1,RO,1000,,,,,,,,,,"KMA ARC FLASH TRIP",
"MDI_227_1_TRP","100027",Boolean,1,RO,1000,,,,,,,,,,"KMA LEFT CABLE LINE UNDERVOLTAGE TRIP",
"MDI_227_2_TRP","100028",Boolean,1,RO,1000,,,,,,,,,,"KMA RIGHT CABLE LINE UNDERVOLTAGE TRIP",
"MDI_86_27_CNTL","100175",Boolean,1,RO,1000,,,,,,,,,,"KMA LOSS OF LOCKOUT POWER",
"MDI_BC01_AC_IN_FAIL_ALM","100172",Boolean,1,RO,1000,,,,,,,,,,"KMA BATTERY CHARGER AC INPUT FAIL ALARM",
"MDI_BC01_D01_PWR_ALM","100170",Boolean,1,RO,1000,,,,,,,,,,"KMA BATTERY CHARGER SUMMARY ALARM",
"MDI_BC01_NEG_GND_FAULT_ALM","100174",Boolean,1,RO,1000,,,,,,,,,,"KMA BATTERY CHARGER NEGATIVE GROUND FAULT DETECTED",
"MDI_BC01_POS_GND_FAULT_ALM","100173",Boolean,1,RO,1000,,,,,,,,,,"KMA BATTERY CHARGER POSITIVE GROUND FAULT DETECTED",
"MDI_BKR_172_01_27_CNTL","100043",Boolean,1,RO,1000,,,,,,,,,,"KMA D01 LOSS OF CONTROL POWER",
"MDI_BKR_172_01_CONN","100040",Boolean,1,RO,1000,,,,,,,,,,"KMA D01 IN CONNECTED POSITION",
"MDI_BKR_172_02_27_CNTL","100058",Boolean,1,RO,1000,,,,,,,,,,"KMA D02 LOSS OF CONTROL POWER",
"MDI_BKR_172_02_CONN","100052",Boolean,1,RO,1000,,,,,,,,,,"KMA D02 IN CONNECTED POSITION",
"MDI_BKR_172_02_MPR_HARD_LOCKOUT","100060",Boolean,1,RO,1000,,,,,,,,,,"KMA D02 MPR HARD LOCK OUT",
"MDI_BKR_172_02_MPR_LOCKOUT","100059",Boolean,1,RO,1000,,,,,,,,,,"KMA D02 MPR AUTO-RECLOSE LOCK OUT",
"MDI_BKR_172_02_TEST","100053",Boolean,1,RO,1000,,,,,,,,,,"KMA D02 IN TEST POSITION",
"MDI_BKR_172_02_TT_TEST_BP","100055",Boolean,1,RO,1000,,,,,,,,,,"KMA D02 TRANSFER TRIP TEST SWITCH IN BYPASS",
"MDI_BKR_172_03_27_CNTL","100071",Boolean,1,RO,1000,,,,,,,,,,"KMA D03 LOSS OF CONTROL POWER",
"MDI_BKR_172_03_CONN","100064",Boolean,1,RO,1000,,,,,,,,,,"KMA D03 IN CONNECTED POSITION",
"MDI_BKR_172_03_MPR_HARD_LOCKOUT","100073",Boolean,1,RO,1000,,,,,,,,,,"KMA D03 MPR HARD LOCK OUT",
"MDI_BKR_172_03_MPR_LOCKOUT","100072",Boolean,1,RO,1000,,,,,,,,,,"KMA D03 MPR AUTO-RECLOSE LOCK OUT",
"MDI_BKR_172_03_TEST","100065",Boolean,1,RO,1000,,,,,,,,,,"KMA D03 IN TEST POSITION",
"MDI_BKR_172_03_TT_CR01_LOOP_FAIL","100068",Boolean,1,RO,1000,,,,,,,,,,"KMA D03 RAIL CR01 TRANSFER TRIP LOOP FAILURE",
"MDI_BKR_172_03_TT_TEST_BP","100067",Boolean,1,RO,1000,,,,,,,,,,"KMA D03 TRANSFER TRIP TEST SWITCH IN BYPASS",
"MDI_BKR_172_04_27_CNTL","100082",Boolean,1,RO,1000,,,,,,,,,,"KMA D04 LOSS OF CONTROL POWER",
"MDI_BKR_172_04_CONN","100077",Boolean,1,RO,1000,,,,,,,,,,"KMA D04 IN CONNECTED POSITION",
"MDI_BKR_172_04_MPR_HARD_LOCKOUT","100084",Boolean,1,RO,1000,,,,,,,,,,"KMA D04 MPR HARD LOCK OUT",
"MDI_BKR_172_04_MPR_LOCKOUT","100083",Boolean,1,RO,1000,,,,,,,,,,"KMA D04 MPR AUTO-RECLOSE LOCK OUT",
"MDI_BKR_172_04_TEST","100078",Boolean,1,RO,1000,,,,,,,,,,"KMA D04 IN TEST POSITION",
"MDI_BKR_172_05_27_CNTL","100095",Boolean,1,RO,1000,,,,,,,,,,"KMA D05 LOSS OF CONTROL POWER",
"MDI_BKR_172_05_CONN","100088",Boolean,1,RO,1000,,,,,,,,,,"KMA D05 IN CONNECTED POSITION",
"MDI_BKR_172_05_MPR_HARD_LOCKOUT","100097",Boolean,1,RO,1000,,,,,,,,,,"KMA D05 MPR HARD LOCK OUT",
"MDI_BKR_172_05_MPR_LOCKOUT","100096",Boolean,1,RO,1000,,,,,,,,,,"KMA D05 MPR AUTO-RECLOSE LOCK OUT",
"MDI_BKR_172_05_TEST","100089",Boolean,1,RO,1000,,,,,,,,,,"KMA D05 IN TEST POSITION",
"MDI_BKR_172_05_TT_CL01_LOOP_FAIL","100092",Boolean,1,RO,1000,,,,,,,,,,"KMA D05 RAIL CL01 TRANSFER TRIP LOOP FAILURE",
"MDI_BKR_172_05_TT_TEST_BP","100091",Boolean,1,RO,1000,,,,,,,,,,"KMA D05 TRANSFER TRIP TEST SWITCH IN BYPASS",
"MDI_BKR_172_06_27_CNTL","100107",Boolean,1,RO,1000,,,,,,,,,,"KMA D06 LOSS OF CONTROL POWER",
"MDI_BKR_172_06_CONN","100101",Boolean,1,RO,1000,,,,,,,,,,"KMA D06 IN CONNECTED POSITION",
"MDI_BKR_172_06_MPR_HARD_LOCKOUT","100109",Boolean,1,RO,1000,,,,,,,,,,"KMA D06 MPR HARD LOCK OUT",
"MDI_BKR_172_06_MPR_LOCKOUT","100108",Boolean,1,RO,1000,,,,,,,,,,"KMA D06 MPR AUTO-RECLOSE LOCK OUT",
"MDI_BKR_172_06_TEST","100102",Boolean,1,RO,1000,,,,,,,,,,"KMA D06 IN TEST POSITION",
"MDI_BKR_172_06_TT_TEST_BP","100104",Boolean,1,RO,1000,,,,,,,,,,"KMA D06 TRANSFER TRIP TEST SWITCH IN BYPASS",
"MDI_BKR_172_07_27_CNTL","100119",Boolean,1,RO,1000,,,,,,,,,,"KMA D07 LOSS OF CONTROL POWER",
"MDI_BKR_172_07_CONN","100113",Boolean,1,RO,1000,,,,,,,,,,"KMA D07 IN CONNECTED POSITION",
"MDI_BKR_172_07_MPR_HARD_LOCKOUT","100121",Boolean,1,RO,1000,,,,,,,,,,"KMA D07 MPR HARD LOCK OUT",
"MDI_BKR_172_07_MPR_LOCKOUT","100120",Boolean,1,RO,1000,,,,,,,,,,"KMA D07 MPR AUTO-RECLOSE LOCK OUT",
"MDI_BKR_172_07_TEST","100114",Boolean,1,RO,1000,,,,,,,,,,"KMA D07 IN TEST POSITION",
"MDI_BKR_172_07_TT_TEST_BP","100116",Boolean,1,RO,1000,,,,,,,,,,"KMA D07 TRANSFER TRIP TEST SWITCH IN BYPASS",
"MDI_BKR_172_08_27_CNTL","100130",Boolean,1,RO,1000,,,,,,,,,,"KMA D08 LOSS OF CONTROL POWER",
"MDI_BKR_172_08_CONN","100125",Boolean,1,RO,1000,,,,,,,,,,"KMA D08 IN CONNECTED POSITION",
"MDI_BKR_172_08_MPR_HARD_LOCKOUT","100132",Boolean,1,RO,1000,,,,,,,,,,"KMA D08 MPR HARD LOCK OUT",
"MDI_BKR_172_08_MPR_LOCKOUT","100131",Boolean,1,RO,1000,,,,,,,,,,"KMA D08 MPR AUTO-RECLOSE LOCK OUT",
"MDI_BKR_172_08_TEST","100126",Boolean,1,RO,1000,,,,,,,,,,"KMA D08 IN TEST POSITION",
"MDI_BKR_172_09_27_CNTL","100142",Boolean,1,RO,1000,,,,,,,,,,"KMA D09 LOSS OF CONTROL POWER",
"MDI_BKR_172_09_CONN","100136",Boolean,1,RO,1000,,,,,,,,,,"KMA D09 IN CONNECTED POSITION",
"MDI_BKR_172_09_MPR_HARD_LOCKOUT","100144",Boolean,1,RO,1000,,,,,,,,,,"KMA D09 MPR HARD LOCK OUT",
"MDI_BKR_172_09_MPR_LOCKOUT","100143",Boolean,1,RO,1000,,,,,,,,,,"KMA D09 MPR AUTO-RECLOSE LOCK OUT",
"MDI_BKR_172_09_TEST","100137",Boolean,1,RO,1000,,,,,,,,,,"KMA D09 IN TEST POSITION",
"MDI_BKR_172_09_TT_TEST_BP","100139",Boolean,1,RO,1000,,,,,,,,,,"KMA D09 TRANSFER TRIP TEST SWITCH IN BYPASS",
"MDI_BKR_172_10_27_CNTL","100154",Boolean,1,RO,1000,,,,,,,,,,"KMA D10 LOSS OF CONTROL POWER",
"MDI_BKR_172_10_CONN","100148",Boolean,1,RO,1000,,,,,,,,,,"KMA D10 IN CONNECTED POSITION",
"MDI_BKR_172_10_MPR_HARD_LOCKOUT","100156",Boolean,1,RO,1000,,,,,,,,,,"KMA D10 MPR HARD LOCK OUT",
"MDI_BKR_172_10_MPR_LOCKOUT","100155",Boolean,1,RO,1000,,,,,,,,,,"KMA D10 MPR AUTO-RECLOSE LOCK OUT",
"MDI_BKR_172_10_TEST","100149",Boolean,1,RO,1000,,,,,,,,,,"KMA D10 IN TEST POSITION",
"MDI_BKR_172_10_TT_TEST_BP","100151",Boolean,1,RO,1000,,,,,,,,,,"KMA D10 TRANSFER TRIP TEST SWITCH IN BYPASS",
"MDI_BKR_172_11_27_CNTL","100166",Boolean,1,RO,1000,,,,,,,,,,"KMA D11 LOSS OF CONTROL POWER",
"MDI_BKR_172_11_CONN","100160",Boolean,1,RO,1000,,,,,,,,,,"KMA D11 IN CONNECTED POSITION",
"MDI_BKR_172_11_MPR_HARD_LOCKOUT","100168",Boolean,1,RO,1000,,,,,,,,,,"KMA D11 MPR HARD LOCK OUT",
"MDI_BKR_172_11_MPR_LOCKOUT","100167",Boolean,1,RO,1000,,,,,,,,,,"KMA D11 MPR AUTO-RECLOSE LOCK OUT",
"MDI_BKR_172_11_TEST","100161",Boolean,1,RO,1000,,,,,,,,,,"KMA D11 IN TEST POSITION",
